userid,augmentin,normix,ciproxin,levoxacin,monuril,velamox,rocefin,zitromax,male_patients,female_patients,age_range,prescriptions
RJNKU61,264,83,84,87,54,9,63,87,260,308,4,16969
AHPPY2J,139,51,37,64,22,31,39,35,178,220,4,6996
NKMWRHQ,75,118,43,16,98,15,25,31,315,394,3,10799
XQJNDC5,7,37,31,61,25,4,28,62,100,205,4,7787
4WTPQ1M,216,148,66,31,114,13,32,50,299,336,4,18089
8QUPYDF,386,91,157,129,146,30,62,185,381,507,4,26711
AT4HJS8,168,103,23,38,32,33,18,27,402,427,4,17987
Q3RWDMV,250,211,204,195,85,79,85,71,445,493,4,24547
RJXPRKA,227,112,122,54,36,10,80,31,210,283,4,15495
9Y3U484,154,87,41,56,54,17,30,28,177,263,4,13581
WMF7DC5,62,37,60,52,52,2,36,47,245,298,4,7946
5P6543Q,150,73,60,46,27,11,60,37,280,346,4,9324
7NRCUHQ,302,160,25,64,64,19,112,51,317,463,4,19242
X5R7WGJ,9,63,25,8,4,4,21,41,110,142,4,7629
XEWFUHQ,112,46,50,28,32,3,35,27,316,385,4,11924
2PEUYPC,96,89,61,18,33,22,29,20,254,315,4,11938
HFHSST9,116,72,71,41,57,6,64,31,198,266,4,8603
KK5KQDF,87,1,70,60,55,5,34,31,220,278,4,8440
57RKY2J,256,115,111,61,97,10,109,70,279,349,4,16473
6QY4T5U,235,207,93,45,99,49,49,50,291,407,3,20720
BJKPSWM,0,18,41,12,12,1,6,5,87,126,4,6599
XQWWU7B,24,28,5,4,6,0,5,3,59,121,4,1981
RRJWTRF,33,135,70,41,57,108,75,32,402,480,3,22913
P5XY5FM,175,127,32,16,68,20,18,17,259,315,4,11835
WXGKYWM,86,57,29,24,60,19,39,17,98,178,4,5253
576RR4W,86,44,58,63,39,8,26,38,241,317,4,7362
RSRXS2J,143,70,37,29,31,29,22,38,239,345,4,10456
N5XQRVJ,170,150,86,50,60,10,54,50,212,322,4,14004
EFGYVA2,471,133,154,123,150,51,190,44,349,461,4,24014
MPRCUDF,202,216,193,33,32,5,14,33,378,370,4,23944
PYPU42J,244,162,79,73,80,24,46,75,310,406,4,17068
CNNP53Q,343,268,87,324,68,52,194,52,390,505,4,20967
HXYTQVJ,101,104,27,129,40,24,6,14,138,155,3,9206
5KGTRGJ,197,65,3,51,35,56,52,19,330,428,3,10328
AETKFFM,73,30,48,52,23,1,21,25,69,123,3,4492
A29SYYM,124,43,53,35,51,20,25,21,148,235,4,12302
PPXCRGJ,444,178,137,186,124,17,137,183,361,468,4,21730
JGPPU4W,98,53,75,14,13,28,22,66,258,345,4,11411
WRSYVFM,176,70,56,79,72,209,8,45,339,415,4,17286
3QCDSVJ,285,60,94,42,62,96,70,21,215,311,4,11619
GJP4Q4W,255,105,74,69,87,37,36,55,297,375,3,21381
KWPVYA2,123,50,101,47,27,9,62,33,255,326,4,10292
4SWCQX6,93,57,26,12,40,9,22,23,134,182,3,10833
QSYKRWM,178,214,65,30,74,39,40,37,284,324,4,18263
W9M8W7B,450,111,41,73,95,61,55,124,414,499,3,20715
RW7SU5U,131,72,60,30,35,8,57,16,258,313,3,9025
JSGGU1M,73,79,41,41,25,8,16,22,154,163,4,7113
AYD6X7B,306,114,98,60,51,11,26,99,442,471,4,23597
ECYY5HQ,222,144,89,51,23,19,69,21,290,401,4,22486
QMRDUE8,32,10,16,19,4,5,8,7,54,61,4,1536
WHFKWDF,38,23,16,7,7,2,4,7,135,185,4,5429
6NS9SBC,209,136,59,49,48,15,79,26,191,226,4,11999
AR4PTFM,32,46,26,21,23,1,19,12,113,147,4,3850
CSKCURF,130,55,41,18,11,4,40,22,184,189,4,10241
RS7KY1M,43,40,27,14,20,4,8,13,169,232,4,4644
PWWUDQ5,11,145,79,51,114,59,29,88,298,392,4,15530
DJWGQUX,103,112,40,156,25,2,116,12,329,360,4,6781
AHJFU84,143,32,31,32,36,3,38,43,134,177,4,10974
RDX9UT9,107,33,57,90,21,1,57,21,217,270,3,4969
MMTFR4W,485,229,61,247,135,57,82,125,377,527,3,27031
C49URQ5,44,93,90,91,70,20,42,38,327,396,4,17296
SKJ8RX6,20,117,36,28,24,59,54,23,309,396,3,13712
CD9SQ3Q,294,105,60,40,67,14,129,56,271,308,4,16349
KM9PRNA,51,23,22,47,17,6,4,23,148,162,4,6791
XHKCWC5,196,36,74,95,16,8,106,32,307,354,4,10213
34Y6DWM,274,111,92,72,90,10,67,76,383,473,4,22972
NF4VVJV,141,132,1,43,63,7,26,62,219,253,4,9662
BYMMS5U,236,49,130,213,158,13,69,70,383,465,4,17929
KCQYSFM,31,59,33,10,8,26,15,5,126,248,4,13481
S4QURZR,273,75,140,122,32,5,124,29,322,417,4,23984
298DWVJ,244,151,56,45,80,33,56,22,375,467,4,13936
K84SWA2,401,82,74,103,18,13,100,11,311,407,4,9802
ECQMUS8,49,8,16,13,11,1,9,7,165,165,4,3413
9H34TT9,249,124,144,85,71,70,64,27,305,421,4,11957
KYSMURF,170,8,60,86,35,126,43,18,247,261,4,15491
YQQ8Y7B,110,18,75,28,21,140,68,15,170,316,4,5018
2KGQVFM,438,225,87,41,160,39,61,98,389,486,3,23355
AEGM69E,46,40,21,8,16,2,14,8,136,195,4,4243
RN5TVZR,13,12,14,4,3,0,9,2,58,80,4,1436
MQ7RSWM,176,119,84,73,33,20,25,33,237,335,4,21331
4GDQV4W,160,117,58,58,58,8,29,38,152,208,4,11892
KB7YWJV,315,195,135,61,98,12,42,46,260,356,4,21165
AB7R5A2,264,156,102,126,76,100,90,41,321,508,4,16101
AJ4Y89E,623,166,165,114,150,29,163,156,439,547,3,21406
AS5UR9E,96,43,13,28,49,34,47,20,151,224,2,7167
CXTWYZR,76,43,98,26,28,12,25,30,162,273,3,5088
WYWFVBC,79,35,37,21,8,1,27,1,94,190,4,3642
KEMCVKA,0,200,87,54,92,135,81,49,148,247,4,14677
WSEUD5U,0,111,63,48,44,13,50,62,206,315,4,9559
ASRKXE8,131,68,43,56,10,33,15,8,287,393,4,10083
JJR74MV,98,102,38,22,25,5,15,11,164,215,4,14905
RRSWUBC,90,62,41,56,66,14,24,19,161,316,4,7681
C9UDW7B,80,36,39,29,35,4,14,80,134,194,4,4959
Q8DWTYM,262,41,74,77,68,5,59,116,246,357,4,9686
A948SRF,481,362,112,128,123,59,139,102,374,434,4,31169
XF7ER7B,241,49,62,88,63,6,130,46,340,448,4,9740
RJW8U1M,222,168,8,75,61,32,58,38,301,417,3,12662
WDDWUFM,132,32,83,78,47,69,9,53,183,307,4,14551
FKQMQ1M,355,143,92,63,46,4,96,104,254,302,4,13231
GRKWVMV,132,22,50,60,44,9,98,29,206,256,4,5170
2GXFQ5U,216,145,103,127,73,36,71,124,257,374,4,15254
NW7XQC5,147,293,69,108,72,3,86,97,295,398,4,22670
Q99TW84,221,92,275,128,75,12,75,77,366,380,4,15186
P8WR4C5,61,44,11,21,28,29,45,16,169,235,3,4410
8F6NUQ5,260,169,82,75,64,4,54,34,237,385,4,10258
2PQY41M,198,98,66,37,50,2,24,40,228,378,3,17807
2JRQSX6,148,102,54,95,54,61,77,125,264,420,4,8981
9YUPVGJ,189,149,96,85,80,8,47,111,201,314,4,12374
W8QYVHQ,385,295,3,37,39,66,136,35,415,518,3,29692
FCQURA2,109,33,14,20,41,22,32,43,178,266,4,7482
YWN54DF,357,178,87,63,94,68,57,45,372,479,4,18752
Q8DPVNA,218,126,35,33,67,48,47,30,181,211,4,10915
RMSGTGJ,132,93,36,51,59,20,17,72,247,293,4,7516
77G8S1M,142,72,102,111,46,23,73,56,213,377,4,8858
7KFJT4W,53,36,22,23,38,5,16,20,114,136,4,3209
RRFHUDF,154,97,69,54,66,11,32,39,145,283,4,8413
ESF5W61,231,93,52,32,53,1,107,50,257,302,4,11998
KS6WQT9,42,36,28,11,4,4,23,3,172,200,4,5483
8JY4TBC,114,99,70,138,37,16,44,24,231,339,4,8839
83Q9S5U,212,78,96,148,64,8,31,74,289,371,4,20470
DQDESMV,269,121,14,21,47,55,95,37,352,453,3,19365
QR8VS3Q,5,193,46,31,69,62,60,32,280,361,3,16896
YWHMYVJ,235,49,48,42,42,23,38,67,252,267,4,9494
Q6XKQS8,71,36,84,72,18,15,4,45,246,319,4,13474
NPJTYPC,179,130,151,56,80,9,28,29,251,308,4,18451
YEKTDA2,61,28,94,39,17,5,17,8,167,178,4,5282
AWCQHJV,461,357,135,100,143,40,69,97,319,450,4,31192
CQWUVKA,337,124,195,37,60,15,100,29,240,320,4,15734
QCPPUE8,283,235,104,80,65,47,26,62,323,372,4,22565
2K3WTS8,25,18,15,9,7,2,21,8,92,91,4,1994
7G3YD84,194,165,73,136,107,25,43,85,255,316,4,18962
GKYMQE8,296,104,40,62,46,9,50,25,186,274,4,14278
R3XKD7B,227,37,24,15,40,5,27,33,295,368,4,6037
F7PUD4W,411,290,154,99,90,13,93,75,385,421,4,23502
EHTHQWM,60,39,38,22,22,15,15,14,96,210,4,4277
CMQQSC5,233,60,90,70,37,15,75,56,255,348,4,10411
A2PST61,63,114,92,14,14,6,39,12,194,278,4,6720
85PYSE8,109,157,67,68,103,57,146,42,305,371,3,18040
3PPSUS8,152,129,82,49,85,47,49,42,171,271,3,12787
N3N4DDF,180,159,116,46,46,22,60,79,277,355,4,21543
AQK7QC5,52,77,39,49,29,2,13,77,251,237,4,8431
HHTMU4W,20,64,42,29,92,77,81,36,339,423,3,14020
DJ4WTGJ,215,40,57,59,38,59,62,109,288,345,3,4476
WQESQXE,166,58,30,24,39,11,14,10,234,425,4,8313
J78JQJV,280,46,100,21,52,9,81,32,298,354,3,9361
STP6RZR,124,53,85,35,19,82,14,48,236,356,4,24745
85QRSBC,191,82,83,30,56,3,85,35,324,441,4,21750
QSPPURF,131,56,24,9,18,2,24,27,182,243,4,11265
FS8Y4VJ,62,31,47,25,14,1,8,4,115,131,4,6167
HF9TVMV,574,202,132,52,150,61,85,50,367,475,3,18783
WRSVDKA,184,210,51,79,48,26,57,23,230,321,4,12869
SSPSW1M,4,121,79,73,74,7,88,51,174,331,4,9164
2EQQTGJ,51,42,22,76,19,4,30,19,104,176,4,3825
6T84WGJ,473,254,125,97,117,55,48,164,360,451,4,25062
EKXNQDF,47,59,22,18,28,4,10,7,124,166,4,4227
KYR6UA2,320,259,89,31,107,71,45,120,446,558,4,21833
H495TVJ,18,142,98,17,11,9,13,7,503,541,4,10478
6KDKT3Q,270,288,87,42,104,14,38,63,292,474,4,30515
WFQJQE8,85,81,35,34,35,3,26,18,222,280,4,13797
YJWMRRF,69,38,31,59,24,65,15,40,177,241,4,3922
6QPYQA2,100,44,45,99,42,5,30,26,162,212,4,5473
BCNYWBC,242,71,63,62,46,19,80,31,261,348,3,9999
KQ58RS8,17,374,99,153,144,99,131,100,345,497,3,19746
BKYTT84,130,54,50,23,30,6,25,27,251,357,4,11102
QJEG4S8,98,31,40,5,23,6,26,25,254,255,3,5253
KJ9QSX6,267,61,25,46,59,48,59,32,276,391,3,11528
GNMR5E8,269,133,122,99,76,6,71,9,336,396,4,18079
XY95SX6,50,23,20,16,4,7,16,19,121,175,4,2971
XKYX45U,59,62,13,12,47,37,14,15,128,179,3,7436
88YM461,263,188,108,70,122,13,31,52,218,362,4,17902
XP7PQ1M,88,72,138,37,54,7,118,51,292,370,3,7376
MRUYTA2,240,79,80,76,64,13,26,30,247,310,4,12327
BNMNRUX,575,330,189,110,172,80,125,177,409,514,4,29923
ADQRPYM,34,99,26,37,51,57,48,27,278,329,3,12328
N3KCW4W,233,165,104,98,71,12,41,68,270,383,4,16138
9JJRDBC,98,93,27,33,82,7,14,109,213,290,4,16561
BNWCUZR,48,34,42,14,10,8,22,15,167,177,4,6239
8DJV49E,42,37,36,37,13,7,24,20,136,201,4,6790
S9WDY1M,263,174,55,56,48,77,71,58,326,396,3,16144
AS7UYRF,171,69,25,33,29,1,39,9,188,218,4,11343
KKT4R9E,290,46,84,162,63,17,143,33,249,324,4,8906
9B7K4MV,367,244,92,74,104,24,72,138,302,416,4,16809
AR9QPGJ,153,89,109,14,53,66,8,40,276,256,4,13826
4XF5SWM,8,254,187,154,162,154,169,83,358,480,3,21566
CSNQTE8,65,44,35,18,8,12,24,14,151,194,4,5292
AYK7R84,107,102,30,25,44,61,20,14,233,328,4,10363
ARRPXGJ,138,42,69,92,58,33,85,42,267,447,3,9717
DFGQ4KA,180,108,99,112,40,20,31,18,266,350,4,19485
QGGQSBC,56,27,33,16,13,6,15,9,94,144,4,2991
DYQWRQ5,10,162,62,35,57,27,27,35,22,36,4,18491
WQRHSPC,0,42,16,8,15,5,19,25,268,312,3,8165
AQYTHDF,215,55,0,20,45,58,59,15,301,390,3,9855
3RMFT7B,27,9,6,4,6,1,8,5,77,87,4,1860
AP7TN61,82,32,29,12,31,2,18,16,234,378,4,21276
WPGXTWM,240,60,25,26,23,4,35,14,279,383,4,5714
HMRC4VJ,71,116,35,23,45,13,34,9,276,340,3,10044
R7QWDPC,137,47,63,87,66,13,25,25,189,331,4,8151
AYUHET9,112,53,28,21,23,46,88,16,330,447,3,12690
NYGNWNA,177,56,56,13,29,56,24,19,476,517,3,15387
PDUQSGJ,332,438,74,41,205,27,56,189,262,400,4,21698
7PHCQBC,311,193,61,42,77,115,97,32,356,505,3,22002
YKEESA2,302,259,127,100,89,36,69,97,301,441,4,24423
KMNYTNA,400,232,97,66,95,82,56,39,295,403,4,23013
Q3QWQUX,202,250,106,100,118,40,51,30,327,407,3,19408
4FSYRYM,70,247,177,178,125,20,68,140,310,452,4,24137
GB8FSWM,111,61,116,32,39,8,41,71,143,242,4,7780
XXTWDZR,313,165,32,67,65,110,62,37,403,506,3,27125
XQPRU1M,86,84,29,13,27,4,30,23,205,282,4,6646
PNYNRQ5,295,214,104,70,77,33,79,88,295,399,4,18822
PYHSWS8,5,337,103,175,76,85,67,32,416,558,3,20977
57RFVWM,424,331,309,71,152,107,124,74,344,477,4,23665
5WWC4WM,339,317,3,29,92,60,50,89,335,438,4,20676
7DJVS84,162,124,49,30,49,7,28,41,185,227,4,11018
KYYUWE8,66,52,61,36,29,36,20,31,212,246,4,6448
HB8GRS8,139,75,64,30,29,4,29,25,197,239,4,8035
AQKRRA2,67,137,96,58,78,9,44,55,195,289,4,14527
AJJUSUX,145,14,46,86,33,66,31,43,217,370,4,9047
9PRPQT9,219,287,144,78,145,28,62,52,326,413,4,24659
EXRPVPC,318,169,107,151,86,2,41,137,282,395,4,17786
HDNYS4W,347,343,99,62,96,35,63,89,263,452,3,20297
YWHE4MV,253,203,98,78,94,13,37,66,206,342,4,20472
NNPGQ3Q,200,214,78,62,127,17,51,77,172,329,4,15938
9WKUYE8,49,53,33,14,14,7,15,10,151,233,4,5346
GJQWQ61,6,182,88,89,85,132,140,74,349,451,3,17716
GWDUTFM,371,201,89,119,91,15,56,75,228,291,4,16607
AFJ7SS8,65,85,17,31,19,4,18,24,135,196,4,7758
QYHJVX6,68,55,26,28,13,27,40,13,266,307,4,7400
YY68TJV,215,56,115,64,45,8,53,22,230,273,4,13049
DMTFTZR,58,15,26,27,15,12,8,21,229,274,4,15808
A7WX4S8,469,222,314,70,93,34,44,99,346,463,4,27975
MFFP4UX,341,183,90,55,121,40,69,70,350,434,3,15634
29EMQ84,0,57,67,152,21,1,35,13,211,254,4,8424
GWCCD5U,0,52,55,38,42,1,48,26,118,155,4,8810
QSSPY1M,46,33,22,13,7,0,3,6,154,211,4,4638
WGJ8QMV,337,222,113,90,108,15,127,158,365,481,3,24439
D5RE43Q,59,57,16,30,44,46,21,9,123,226,4,7389
QBXPQ7B,70,51,30,9,22,7,28,11,193,258,4,5093
WNDUR9E,299,164,38,44,78,83,113,41,379,534,3,18071
5XNKY19,298,160,170,248,50,251,18,224,495,578,4,34207
5M49Q1M,420,234,196,87,87,35,88,65,349,432,4,27889
N4YP4ZR,475,226,65,191,138,40,67,158,430,538,3,24685
X53K4ZR,125,45,32,33,24,31,28,9,248,277,4,7889
FNYKYMV,72,123,105,73,28,33,40,34,378,441,4,22149
AWKCNJV,73,27,11,12,25,3,25,22,109,134,4,8833
MJSUYYM,289,199,184,65,79,37,89,29,271,485,4,18796
YHQSDE8,2,143,77,49,66,6,21,81,254,290,4,18764
9XXUYQ5,126,67,17,43,34,24,44,26,231,333,4,9443
3PS641M,165,137,61,40,53,13,19,54,186,272,4,12562
4MD9D2J,56,28,30,23,21,24,29,12,59,93,4,4884
NKC7DQ5,171,93,3,62,35,46,102,22,326,380,3,9613
3K4XWA2,243,299,152,96,89,79,68,100,337,430,4,19845
KECYRVJ,327,188,104,100,117,39,51,70,284,373,4,22622
HSTQWQ5,450,225,154,37,140,201,106,98,358,464,3,21656
AEJQ9WM,165,122,59,25,40,27,22,40,328,396,4,10712
JKMWVHQ,69,37,21,9,27,21,29,35,203,257,3,6177
Q45HYS8,233,83,76,59,68,36,70,53,250,319,4,10966
7GTUSWM,285,109,99,53,75,10,38,33,216,325,4,16077
DSQKDQ5,190,74,97,18,67,6,45,29,140,189,4,10895
JN3KWGJ,198,146,90,49,49,15,51,26,226,286,4,10560
QN79TBC,373,285,145,81,81,31,82,46,257,351,4,18508
GQEST3Q,95,87,22,39,36,9,9,21,233,327,4,10635
8YYPSGJ,258,259,128,121,105,5,59,69,287,392,4,22031
A4FRW3Q,161,73,69,28,24,11,25,41,289,404,4,20928
A7PWZRF,308,108,61,66,45,28,141,54,241,391,3,13503
BQRFQT9,24,7,11,9,6,27,9,5,90,93,4,1945
QGRRUMV,320,160,149,86,113,19,59,167,225,368,4,18055
6W7Y4MV,128,33,3,22,31,3,100,27,204,270,4,5795
AHWURDF,238,121,46,49,70,58,44,49,326,387,3,14604
RNQY4VJ,92,49,42,13,30,7,13,11,173,327,4,9068
RJJNV61,14,127,80,86,68,6,43,39,173,272,4,9959
ASMRW61,219,131,93,75,59,9,31,46,159,231,4,11617
KKYJRFM,166,172,100,46,91,96,53,25,333,434,4,22582
RCY9WVJ,112,39,57,42,37,16,68,105,242,321,4,9683
JKWP5MV,309,66,58,107,65,19,69,26,262,349,3,11359
JWSPVWM,257,97,58,40,118,86,51,67,227,290,4,14226
Y88VWKA,65,98,35,48,53,53,39,32,298,388,4,17706
BFYRS4W,543,197,198,124,129,65,85,84,418,470,4,23105
WNMWST9,284,86,44,82,66,67,61,57,389,446,3,17654
MJFQUBC,92,50,61,48,35,2,24,43,142,234,4,7025
9NMJSMV,92,49,5,3,13,3,16,10,215,259,4,14017
PPD4DT9,2,70,118,60,37,4,98,71,192,193,4,7453
AMF9JQ5,186,172,113,71,54,18,48,80,272,450,4,17785
FWPE44W,499,168,178,57,89,53,53,256,377,543,4,22476
ARJEJ7B,0,23,10,48,11,9,112,24,234,365,3,3778
A2HSV3Q,0,33,101,24,10,163,16,38,235,267,4,13113
SGQYWS8,0,92,65,46,34,12,19,32,336,509,4,16130
GPDT4BC,23,16,9,3,11,0,9,1,71,90,4,2853
3SN6YBC,115,53,28,66,35,0,41,31,173,230,4,6591
4WE9DGJ,43,46,37,44,11,0,7,8,104,151,4,3289
43HQQMV,35,29,39,35,20,8,18,0,125,181,4,2837
GCCFRC5,503,142,87,143,125,176,57,103,364,499,3,26481
ANEQVS8,83,39,10,96,29,3,28,55,154,264,4,6827
FSX9RT9,396,229,7,56,87,67,62,73,241,391,4,20229
433CVNA,134,31,95,41,31,36,22,54,330,317,4,19083
9FPYSS8,164,154,2,79,70,6,49,24,359,461,3,11346
G3T8D61,248,165,89,79,46,19,68,63,197,242,4,15721
WY95WPC,349,206,172,120,139,47,91,130,283,433,4,25012
79HKWWM,21,118,16,42,57,55,63,22,432,541,4,22244
B98TUT9,165,76,48,50,33,4,34,21,383,427,4,17992
3JFUT7B,164,68,6,64,50,1,106,66,286,334,4,8603
AXQ9M9E,228,160,55,30,37,59,34,23,351,472,3,17672
D5RRUX6,175,99,72,70,56,22,39,56,356,443,3,10207
DBPYVC5,101,31,59,31,11,12,19,28,153,239,4,4100
WX8FU2J,28,134,47,30,37,8,38,50,170,237,4,11060
AX8KQGJ,118,28,39,18,66,30,31,36,260,288,4,16641
N7KUVS8,227,42,90,41,42,28,16,30,255,351,4,20420
PSJ8RQ5,454,432,159,87,133,112,211,156,437,546,4,27573
JYJUD4W,93,52,8,18,11,7,13,38,187,194,4,6595
9NGFSDF,131,75,48,76,40,3,37,42,183,221,4,18099
2PWEWPC,2,170,93,50,56,24,44,24,302,405,4,24390
WFPDW5U,62,12,40,12,18,5,19,19,114,179,4,4206
JFWDTZR,344,223,100,327,81,13,127,78,367,502,3,15319
PWY4QC5,6,95,46,40,56,75,47,30,233,334,3,11495
R9YXVX6,106,93,43,18,14,3,45,141,337,368,4,10221
7PWW4E8,205,103,55,31,52,28,62,82,246,400,4,11668
XTGER61,239,139,149,53,79,5,45,53,260,370,4,19568
WQDF44W,72,14,36,10,17,1,38,1,148,169,4,2465
CMUCRWM,172,121,69,36,25,8,39,29,257,354,4,12036
2BEWYE8,104,120,31,32,33,16,24,28,204,288,4,12589
56YMDPC,169,89,186,27,44,5,38,19,230,339,4,13322
HCC5QP3,496,400,173,96,116,52,69,124,367,445,4,28167
SGFYRFM,303,170,132,62,85,21,63,126,236,273,4,16142
RXXNDJV,82,49,27,28,36,1,21,7,152,205,4,3555
PF4TD2J,71,58,27,26,21,3,14,14,154,239,3,5479
J4S9YBC,21,18,3,27,21,1,3,23,83,100,4,1345
3KSRUYM,238,133,75,49,76,23,48,54,238,267,4,14646
JT76W2J,76,30,32,11,24,4,25,12,123,212,4,6600
MYQGR9E,233,127,51,67,117,21,113,57,247,323,4,20689
HG4TQ5U,4,45,31,38,27,11,14,13,134,200,4,7361
A3HW761,57,68,44,44,35,4,13,7,116,203,4,6706
Q4G6SPC,114,49,34,11,18,9,44,13,200,250,4,15512
AB9P7BC,70,34,27,16,15,11,69,8,166,201,4,2864
JGYFYE8,69,38,31,25,13,7,10,10,117,147,4,4919
WDRG45U,253,254,180,28,57,13,184,464,387,398,4,26177
2QRUQS8,3,74,37,76,32,1,29,36,134,227,4,5470
QSTYY61,164,153,60,37,74,3,17,34,216,339,4,13837
MW55WC5,441,227,141,98,88,97,117,92,390,496,3,20885
NMTJRFM,2,94,72,131,47,12,90,77,241,236,4,15350
BBP9TA2,385,139,70,36,56,64,76,49,360,454,3,17600
AFGKDUX,89,131,32,18,24,6,19,6,347,368,4,20550
WRKYW3Q,264,92,60,50,37,61,67,27,354,415,4,18491
664SS4W,416,177,75,23,106,55,52,39,436,526,3,23476
RJX4WZR,46,38,10,18,14,4,36,9,129,209,4,4652
YPDWYUX,523,339,158,70,66,99,157,47,453,518,3,28034
